Tissue	TPM	GENE
T	11.876922914	IRF8
T	 8.92443792	IRF8
T	11.876922914	IRF8
T	11.87692291	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	17.214233557	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	 6.13790983	IRF8
T	17.21423356	IRF8
T	11.876922914	IRF8
T	 8.92443792	IRF8
T	 8.92443792	IRF8
T	17.214233557	IRF8
T	17.21423356	IRF8
T	 8.92443792	IRF8
T	 8.924437921	IRF8
T	 4.513986777	IRF8
T	 8.92443792	IRF8
T	 8.92443792	IRF8
T	11.876922914	IRF8
T	11.87692291	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	17.214233557	IRF8
T	11.87692291	IRF8
T	 6.13790983	IRF8
T	17.21423356	IRF8
T	 8.92443792	IRF8
T	 3.299759333	IRF8
T	 8.92443792	IRF8
T	 8.924437921	IRF8
T	 6.137909825	IRF8
T	 8.924437921	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	 8.92443792	IRF8
T	 6.13790983	IRF8
T	11.87692291	IRF8
T	17.214233557	IRF8
T	 8.924437921	IRF8
T	17.214233557	IRF8
T	17.21423356	IRF8
T	11.876922914	IRF8
T	 8.92443792	IRF8
T	17.214233557	IRF8
T	11.876922914	IRF8
T	 8.92443792	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	 8.924437921	IRF8
T	17.21423356	IRF8
T	17.214233557	IRF8
T	 2.654711932	IRF8
T	17.214233557	IRF8
T	17.21423356	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	17.21423356	IRF8
T	17.21423356	IRF8
T	11.87692291	IRF8
T	 8.924437921	IRF8
T	 8.92443792	IRF8
T	17.214233557	IRF8
T	 8.92443792	IRF8
T	11.876922914	IRF8
T	17.214233557	IRF8
T	 8.924437921	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	 8.92443792	IRF8
T	 8.924437921	IRF8
T	17.214233557	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	 8.924437921	IRF8
T	17.21423356	IRF8
T	 8.92443792	IRF8
T	 8.92443792	IRF8
T	17.214233557	IRF8
T	11.87692291	IRF8
T	17.214233557	IRF8
T	17.21423356	IRF8
T	11.87692291	IRF8
T	11.87692291	IRF8
T	11.876922914	IRF8
T	11.876922914	IRF8
T	 6.13790983	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	 8.924437921	IRF8
T	17.214233557	IRF8
T	17.214233557	IRF8
T	 6.13790983	IRF8
T	 8.92443792	IRF8
T	17.214233557	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	11.87692291	IRF8
T	11.87692291	IRF8
T	14.545578235	IRF8
T	 8.92443792	IRF8
T	11.87692291	IRF8
T	 6.137909825	IRF8
T	 8.924437921	IRF8
T	11.876922914	IRF8
T	 6.137909825	IRF8
T	39.247163493	IRF8
T	39.24716349	IRF8
T	 8.924437921	IRF8
T	11.87692291	IRF8
T	39.247163493	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	 8.924437921	IRF8
T	11.87692291	IRF8
T	 8.924437921	IRF8
T	39.24716349	IRF8
T	11.87692291	IRF8
T	 8.924437921	IRF8
T	17.21423356	IRF8
T	 6.137909825	IRF8
T	17.214233557	IRF8
T	11.876922914	IRF8
T	11.876922914	IRF8
T	 8.92443792	IRF8
T	17.214233557	IRF8
T	11.87692291	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	11.876922914	IRF8
T	11.876922914	IRF8
T	11.876922914	IRF8
T	17.214233557	IRF8
T	 8.924437921	IRF8
T	11.876922914	IRF8
T	17.214233557	IRF8
T	 6.13790983	IRF8
T	 8.92443792	IRF8
T	11.87692291	IRF8
T	11.876922914	IRF8
T	 6.13790983	IRF8
T	11.876922914	IRF8
T	39.24716349	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	 8.924437921	IRF8
T	 6.13790983	IRF8
T	11.87692291	IRF8
T	11.876922914	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	 8.924437921	IRF8
T	11.87692291	IRF8
T	11.876922914	IRF8
T	 6.137909825	IRF8
T	39.247163493	IRF8
T	 6.137909825	IRF8
T	11.876922914	IRF8
T	17.21423356	IRF8
T	17.214233557	IRF8
T	11.876922914	IRF8
T	 6.13790983	IRF8
T	17.214233557	IRF8
T	17.214233557	IRF8
T	11.87692291	IRF8
T	11.87692291	IRF8
T	 8.924437921	IRF8
T	 6.137909825	IRF8
T	 8.924437921	IRF8
T	 6.13790983	IRF8
T	17.21423356	IRF8
T	 6.137909825	IRF8
T	 6.137909825	IRF8
T	11.876922914	IRF8
T	 8.924437921	IRF8
T	17.214233557	IRF8
T	 6.13790983	IRF8
T	11.876922914	IRF8
T	17.214233557	IRF8
T	 8.924437921	IRF8
T	 8.92443792	IRF8
T	 8.924437921	IRF8
T	11.87692291	IRF8
T	 2.195042217	IRF8
T	 8.924437921	IRF8
T	11.876922914	IRF8
T	 8.92443792	IRF8
T	11.876922914	IRF8
T	17.214233557	IRF8
